task,page_row_id,setup,trial,aloha_wrist_left_cam,aloha_high_cam
Task 1,1,Setup 1,trial_1,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_1/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_1/camera_high_camera_color_image_raw_compressed.mp4
Task 1,2,Setup 1,trial_2,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_2/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_2/camera_high_camera_color_image_raw_compressed.mp4
Task 1,3,Setup 1,trial_3,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_3/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_3/camera_high_camera_color_image_raw_compressed.mp4
Task 1,4,Setup 1,trial_4,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_4/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_1/trial_4/camera_high_camera_color_image_raw_compressed.mp4
Task 1,5,Setup 2,trial_1,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_1/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_1/camera_high_camera_color_image_raw_compressed.mp4
Task 1,6,Setup 2,trial_2,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_2/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_2/camera_high_camera_color_image_raw_compressed.mp4
Task 1,7,Setup 2,trial_3,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_3/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_3/camera_high_camera_color_image_raw_compressed.mp4
Task 1,8,Setup 2,trial_4,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_4/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_2/trial_4/camera_high_camera_color_image_raw_compressed.mp4
Task 1,9,Setup 3,trial_1,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_1/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_1/camera_high_camera_color_image_raw_compressed.mp4
Task 1,10,Setup 3,trial_2,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_2/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_2/camera_high_camera_color_image_raw_compressed.mp4
Task 1,11,Setup 3,trial_3,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_3/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_3/camera_high_camera_color_image_raw_compressed.mp4
Task 1,12,Setup 3,trial_4,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_4/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_3/trial_4/camera_high_camera_color_image_raw_compressed.mp4
Task 1,13,Setup 4,trial_1,src/assets/aloha-videos/vlacpp/task1/setup_4/trial_1/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task1/setup_4/trial_1/camera_high_camera_color_image_raw_compressed.mp4
Task 2,20,Setup 5,trial_4,src/assets/aloha-videos/vlacpp/task2/setup_5/trial_4/camera_wrist_left_camera_color_image_raw_compressed.mp4,src/assets/aloha-videos/vlacpp/task2/setup_5/trial_4/camera_high_camera_color_image_raw_compressed.mp4
